system:time_start,NDVI
"Jan 2, 2023",0.291
"Jan 2, 2023",0.191
"Jan 2, 2023",0.281
"Jan 4, 2023",0.228
"Jan 7, 2023",0.244
"Jan 7, 2023",0.196
"Jan 7, 2023",0.264
"Jan 12, 2023",0.266
"Jan 12, 2023",0.175
"Jan 12, 2023",0.226
"Jan 14, 2023",0.387
"Jan 14, 2023",0.286
"Jan 17, 2023",0.301
"Jan 17, 2023",0.191
"Jan 17, 2023",0.273
"Jan 19, 2023",0.389
"Jan 19, 2023",0.33
"Jan 19, 2023",0.269
"Jan 27, 2023",0.312
"Jan 27, 2023",0.193
"Jan 27, 2023",0.286
"Feb 1, 2023",0.321
"Feb 1, 2023",0.191
"Feb 1, 2023",0.301
"Feb 3, 2023",0.398
"Feb 3, 2023",0.348
"Feb 3, 2023",0.29
"Feb 6, 2023",0.31
"Feb 6, 2023",0.174
"Feb 6, 2023",0.287
"Feb 8, 2023",0.397
"Feb 8, 2023",0.342
"Feb 8, 2023",0.291
"Feb 11, 2023",0.321
"Feb 11, 2023",0.2
"Feb 11, 2023",0.276
"Feb 13, 2023",0.4
"Feb 13, 2023",0.355
"Feb 13, 2023",0.299
"Feb 16, 2023",0.317
"Feb 18, 2023",0.396
"Feb 18, 2023",0.362
"Feb 18, 2023",0.31
"Feb 21, 2023",0.313
"Feb 21, 2023",0.177
"Feb 21, 2023",0.299
"Feb 23, 2023",0.38
"Feb 23, 2023",0.347
"Feb 23, 2023",0.311
"Feb 26, 2023",0.302
"Feb 26, 2023",0.165
"Feb 26, 2023",0.281
"Feb 28, 2023",0.356
"Feb 28, 2023",0.327
"Feb 28, 2023",0.277
"Mar 3, 2023",0.277
"Mar 3, 2023",0.146
"Mar 3, 2023",0.276
"Mar 5, 2023",0.32
"Mar 5, 2023",0.306
"Mar 5, 2023",0.276
"Mar 10, 2023",0.283
"Mar 10, 2023",0.28
"Mar 10, 2023",0.253
"Mar 18, 2023",0.106
"Mar 18, 2023",0.17
"Mar 23, 2023",0.156
"Mar 23, 2023",0.112
"Mar 23, 2023",0.182
"Mar 25, 2023",0.163
"Mar 25, 2023",0.156
"Mar 25, 2023",0.161
"Mar 28, 2023",0.14
"Mar 28, 2023",0.099
"Mar 28, 2023",0.16
"Mar 30, 2023",-0.059
"Apr 4, 2023",0.157
"Apr 4, 2023",0.161
"Apr 4, 2023",0.177
"Apr 7, 2023",0.136
"Apr 7, 2023",0.1
"Apr 7, 2023",0.17
"Apr 9, 2023",0.155
"Apr 9, 2023",0.154
"Apr 9, 2023",0.18
"Apr 12, 2023",0.133
"Apr 14, 2023",0.153
"Apr 14, 2023",0.146
"Apr 14, 2023",0.171
"Apr 17, 2023",0.12
"Apr 17, 2023",0.088
"Apr 17, 2023",0.153
"Apr 19, 2023",0.116
"Apr 19, 2023",0.135
"Apr 22, 2023",0.127
"Apr 22, 2023",0.1
"Apr 22, 2023",0.149
"Apr 24, 2023",0.163
"Apr 24, 2023",0.145
"Apr 24, 2023",0.167
"Apr 27, 2023",0.142
"May 2, 2023",0.133
"May 2, 2023",0.104
"May 2, 2023",0.145
"May 4, 2023",0.15
"May 4, 2023",0.161
"May 4, 2023",0.177
"May 7, 2023",0.122
"May 7, 2023",0.089
"May 7, 2023",0.155
"May 9, 2023",0.148
"May 9, 2023",0.148
"May 9, 2023",0.169
"May 12, 2023",0.127
"May 12, 2023",0.098
"May 12, 2023",0.152
"May 14, 2023",0.124
"May 14, 2023",0.075
"May 17, 2023",0.11
"May 17, 2023",0.079
"May 17, 2023",0.135
"May 19, 2023",0.124
"May 19, 2023",0.131
"May 19, 2023",0.15
"May 22, 2023",0.107
"May 22, 2023",0.084
"May 22, 2023",0.13
"May 27, 2023",0.129
"May 27, 2023",0.085
"May 27, 2023",0.15
"Jun 3, 2023",0.161
"Jun 3, 2023",0.17
"Jun 3, 2023",0.19
"Jun 6, 2023",0.163
"Jun 6, 2023",0.131
"Jun 6, 2023",0.197
"Jun 8, 2023",0.155
"Jun 8, 2023",0.158
"Jun 8, 2023",0.182
"Jun 11, 2023",0.132
"Jun 11, 2023",0.11
"Jun 11, 2023",0.161
"Jun 13, 2023",0.167
"Jun 13, 2023",0.151
"Jun 13, 2023",0.175
"Jun 21, 2023",0.15
"Jun 21, 2023",0.122
"Jun 21, 2023",0.185
"Jul 1, 2023",0.186
"Jul 1, 2023",0.185
"Jul 1, 2023",0.211
"Jul 3, 2023",0.334
"Jul 3, 2023",0.243
"Aug 12, 2023",0.183
"Aug 17, 2023",0.336
"Aug 17, 2023",0.386
"Aug 17, 2023",0.39
"Aug 27, 2023",0.266
"Aug 27, 2023",0.267
"Aug 30, 2023",0.262
"Aug 30, 2023",0.157
"Aug 30, 2023",0.312
"Sep 1, 2023",0.242
"Sep 1, 2023",0.315
"Sep 1, 2023",0.331
"Sep 4, 2023",0.278
"Sep 4, 2023",0.186
"Sep 4, 2023",0.317
"Sep 6, 2023",0.216
"Sep 6, 2023",0.263
"Sep 6, 2023",0.297
"Sep 9, 2023",0.144
"Sep 21, 2023",0.171
"Sep 21, 2023",0.214
"Sep 26, 2023",0.16
"Sep 26, 2023",0.199
"Sep 26, 2023",0.181
"Sep 29, 2023",0.218
"Sep 29, 2023",0.182
"Sep 29, 2023",0.265
"Oct 1, 2023",0.157
"Oct 1, 2023",0.221
"Oct 1, 2023",0.264
"Oct 4, 2023",0.21
"Oct 4, 2023",0.183
"Oct 4, 2023",0.244
"Oct 6, 2023",0.151
"Oct 6, 2023",0.208
"Oct 6, 2023",0.237
"Oct 9, 2023",0.185
"Oct 9, 2023",0.167
"Oct 9, 2023",0.213
"Oct 11, 2023",0.15
"Oct 11, 2023",0.198
"Oct 11, 2023",0.223
"Oct 14, 2023",0.167
"Oct 14, 2023",0.158
"Oct 14, 2023",0.205
"Oct 16, 2023",0.147
"Oct 19, 2023",0.168
"Oct 19, 2023",0.162
"Oct 19, 2023",0.195
"Oct 21, 2023",0.143
"Oct 21, 2023",0.163
"Oct 21, 2023",0.2
"Oct 24, 2023",0.148
"Oct 24, 2023",0.148
"Oct 24, 2023",0.179
"Oct 26, 2023",0.152
"Oct 26, 2023",0.166
"Oct 26, 2023",0.2
"Oct 29, 2023",0.147
"Oct 29, 2023",0.146
"Oct 29, 2023",0.172
"Oct 31, 2023",0.143
"Oct 31, 2023",0.172
"Oct 31, 2023",0.185
"Nov 3, 2023",0.133
"Nov 3, 2023",0.142
"Nov 3, 2023",0.166
"Nov 5, 2023",0.087
"Nov 5, 2023",0.125
"Nov 5, 2023",0.162
"Nov 13, 2023",0.105
"Nov 13, 2023",0.115
"Nov 13, 2023",0.149
"Nov 15, 2023",0.037
"Nov 15, 2023",0.04
"Nov 15, 2023",0.093
"Nov 18, 2023",0.123
"Nov 18, 2023",0.126
"Nov 18, 2023",0.166
"Nov 20, 2023",0.156
"Nov 20, 2023",0.166
"Nov 20, 2023",0.182
"Nov 23, 2023",0.165
"Nov 23, 2023",0.158
"Nov 23, 2023",0.19
"Nov 28, 2023",0.128
"Nov 30, 2023",0.179
"Dec 3, 2023",0.145
"Dec 3, 2023",0.139
"Dec 3, 2023",0.13
"Dec 5, 2023",0.27
"Dec 5, 2023",0.208
"Dec 5, 2023",0.189
"Dec 8, 2023",0.194
"Dec 8, 2023",0.159
"Dec 8, 2023",0.187
"Dec 10, 2023",0.314
"Dec 10, 2023",0.244
"Dec 10, 2023",0.219
"Dec 13, 2023",0.226
"Dec 13, 2023",0.172
"Dec 13, 2023",0.211
"Dec 15, 2023",0.221
"Dec 18, 2023",0.249
"Dec 18, 2023",0.178
"Dec 18, 2023",0.229
"Dec 23, 2023",0.251
"Dec 23, 2023",0.183
"Dec 23, 2023",0.243
"Dec 25, 2023",0.391
"Dec 25, 2023",0.292
"Dec 25, 2023",0.254
"Dec 28, 2023",0.195
"Dec 28, 2023",0.252
